#Time                       Gauge pressure
-1.98029221882433e-002    8.37696335078534e+001
-1.95990485898743e-002    9.77312390924956e+001
-1.93951749915053e-002    1.11692844677138e+002
-1.92048929663609e-002    2.51308900523560e+002
-1.90010193679918e-002    2.51308900523560e+002
-1.87971457696228e-002    2.51308900523560e+002
-1.85932721712538e-002    2.51308900523560e+002
-1.84029901461094e-002    2.51308900523560e+002
-1.81991165477404e-002    2.65270506108202e+002
-1.79952429493714e-002    3.63001745200698e+002
-1.78049609242270e-002    3.63001745200698e+002
-1.76010873258580e-002    3.63001745200698e+002
-1.73972137274890e-002    3.76963350785340e+002
-1.71933401291199e-002    3.76963350785340e+002
-1.70030581039755e-002    3.76963350785340e+002
-1.67991845056065e-002    3.76963350785340e+002
-1.65953109072375e-002    3.76963350785340e+002
-1.64050288820931e-002    3.76963350785340e+002
-1.62011552837241e-002    5.02617801047120e+002
-1.59972816853551e-002    5.02617801047120e+002
-1.57934080869861e-002    5.02617801047120e+002
-1.56031260618417e-002    5.02617801047120e+002
-1.53992524634726e-002    5.02617801047120e+002
-1.51953788651036e-002    5.02617801047120e+002
-1.50050968399592e-002    5.30541012216405e+002
-1.48012232415902e-002    6.28272251308901e+002
-1.45973496432212e-002    6.28272251308901e+002
-1.43934760448522e-002    6.28272251308901e+002
-1.42031940197078e-002    6.56195462478185e+002
-1.39993204213388e-002    7.53926701570681e+002
-1.37954468229698e-002    7.53926701570681e+002
-1.36051647978253e-002    7.53926701570681e+002
-1.34012911994563e-002    7.53926701570681e+002
-1.31974176010873e-002    7.53926701570681e+002
-1.29935440027183e-002    7.53926701570681e+002
-1.28032619775739e-002    7.53926701570681e+002
-1.25993883792049e-002    7.53926701570681e+002
-1.23955147808359e-002    7.53926701570681e+002
-1.22052327556915e-002    7.53926701570681e+002
-1.20013591573225e-002    7.53926701570681e+002
-1.17974855589534e-002    7.53926701570681e+002
-1.15936119605844e-002    7.53926701570681e+002
-1.14033299354400e-002    7.53926701570681e+002
-1.11994563370710e-002    8.37696335078534e+002
-1.09955827387020e-002    8.79581151832461e+002
-1.08053007135576e-002    8.79581151832461e+002
-1.06014271151886e-002    8.79581151832461e+002
-1.03975535168196e-002    8.79581151832461e+002
-1.01936799184506e-002    8.79581151832461e+002
-1.00033978933062e-002    8.79581151832461e+002
-9.79952429493714e-003    8.79581151832461e+002
-9.59565069656813e-003    1.00523560209424e+003
-9.40536867142372e-003    1.00523560209424e+003
-9.20149507305471e-003    1.00523560209424e+003
-8.99762147468570e-003    1.00523560209424e+003
-8.79374787631668e-003    1.00523560209424e+003
-8.60346585117227e-003    1.00523560209424e+003
-8.39959225280326e-003    1.01919720767888e+003
-8.19571865443425e-003    1.07504363001745e+003
-8.00543662928984e-003    1.07504363001745e+003
-7.80156303092083e-003    1.07504363001745e+003
-7.59768943255182e-003    1.10296684118674e+003
-7.39381583418281e-003    1.13089005235602e+003
-7.20353380903840e-003    1.14485165794066e+003
-6.99966021066939e-003    1.15881326352531e+003
-6.79578661230037e-003    1.20069808027923e+003
-6.60550458715596e-003    1.18673647469459e+003
-6.40163098878695e-003    1.28446771378709e+003
-6.19775739041794e-003    1.28446771378709e+003
-5.99388379204893e-003    1.38219895287958e+003
-5.80360176690452e-003    1.38219895287958e+003
-5.59972816853551e-003    1.38219895287958e+003
-5.39585457016650e-003    1.38219895287958e+003
-5.20557254502209e-003    1.38219895287958e+003
-5.00169894665308e-003    1.45200698080279e+003
-4.79782534828406e-003    1.50785340314136e+003
-4.59395174991505e-003    1.50785340314136e+003
-4.40366972477064e-003    1.50785340314136e+003
-4.19979612640163e-003    1.60558464223386e+003
-3.99592252803262e-003    1.61954624781850e+003
-3.80564050288821e-003    1.63350785340314e+003
-3.60176690451920e-003    1.75916230366492e+003
-3.39789330615019e-003    1.75916230366492e+003
-3.19401970778118e-003    1.88481675392670e+003
-3.00373768263677e-003    2.01047120418848e+003
-2.79986408426775e-003    2.26178010471204e+003
-2.59599048589874e-003    2.69458987783595e+003
-2.40570846075433e-003    2.97382198952880e+003
-2.20183486238532e-003    3.85340314136126e+003
-1.99796126401631e-003    4.77486910994764e+003
-1.79408766564730e-003    5.16579406631763e+003
-1.60380564050289e-003    6.10122164048866e+003
-1.39993204213388e-003    6.86910994764398e+003
-1.19605844376487e-003    7.06457242582897e+003
-1.00577641862046e-003    7.42757417102967e+003
-8.01902820251444e-004    7.31588132635253e+003
-5.98029221882433e-004    7.65095986038394e+003
-3.94155623513422e-004    7.37172774869110e+003
-2.03873598369011e-004    7.20418848167539e+003
 0.00000000000000e+000    7.63699825479930e+003
 2.03873598369011e-004    7.21815008726004e+003
 3.94155623513422e-004    7.39965095986038e+003
 5.98029221882433e-004    7.14834205933682e+003
 8.01902820251444e-004    6.65968586387435e+003
 1.00577641862046e-003    6.49214659685864e+003
 1.19605844376487e-003    5.47294938917976e+003
 1.39993204213388e-003    4.73298429319372e+003
 1.60380564050289e-003    3.86736474694590e+003
 1.79408766564730e-003    2.52705061082024e+003
 1.99796126401631e-003    1.87085514834206e+003
 2.20183486238532e-003    8.23734729493892e+002
 2.40570846075433e-003   -1.53577661431065e+002
 2.59599048589874e-003   -6.56195462478185e+002
 2.79986408426775e-003   -1.25654450261780e+003
 3.00373768263677e-003   -1.49389179755672e+003
 3.19401970778118e-003   -1.63350785340314e+003
 3.39789330615019e-003   -1.56369982547993e+003
 3.60176690451920e-003   -1.45200698080279e+003
 3.80564050288821e-003   -1.25654450261780e+003
 3.99592252803262e-003   -6.14310645724258e+002
 4.19979612640163e-003   -4.46771378708551e+002
 4.40366972477064e-003    1.39616055846422e+002
 4.59395174991505e-003    1.17277486910995e+003
 4.79782534828406e-003    1.50785340314136e+003
 5.00169894665308e-003    2.05235602094241e+003
 5.20557254502209e-003    2.80628272251309e+003
 5.39585457016650e-003    3.08551483420593e+003
 5.59972816853551e-003    3.65794066317626e+003
 5.80360176690452e-003    3.99301919720768e+003
 5.99388379204893e-003    4.27225130890052e+003
 6.19775739041794e-003    4.23036649214660e+003
 6.40163098878695e-003    4.13263525305410e+003
 6.60550458715596e-003    3.89528795811518e+003
 6.79578661230037e-003    3.49040139616056e+003
 6.99966021066939e-003    3.19720767888307e+003
 7.20353380903840e-003    2.54101221640489e+003
 7.39381583418281e-003    2.15008726003490e+003
 7.59768943255182e-003    1.46596858638743e+003
 7.80156303092083e-003    8.23734729493892e+002
 8.00543662928984e-003    4.60732984293194e+002
 8.19571865443425e-003   -5.58464223385689e+001
 8.39959225280326e-003   -5.02617801047120e+002
 8.60346585117227e-003   -6.28272251308901e+002
 8.79374787631668e-003   -7.53926701570681e+002
 8.99762147468570e-003   -7.53926701570681e+002
 9.20149507305471e-003   -7.53926701570681e+002
 9.40536867142372e-003   -4.46771378708551e+002
 9.59565069656813e-003   -1.25654450261780e+002
 9.79952429493714e-003    2.51308900523560e+002
 1.00033978933062e-002    4.88656195462478e+002
 1.01936799184506e-002    7.53926701570681e+002
 1.03975535168196e-002    1.21465968586387e+003
 1.06014271151886e-002    2.06631762652705e+003
 1.08053007135576e-002    2.44328097731239e+003
 1.09955827387020e-002    2.76439790575916e+003
 1.11994563370710e-002    2.79232111692845e+003
 1.14033299354400e-002    2.89005235602094e+003
 1.15936119605844e-002    3.01570680628272e+003
 1.17974855589534e-002    3.14136125654450e+003
 1.20013591573225e-002    3.18324607329843e+003
 1.22052327556915e-002    2.84816753926702e+003
 1.23955147808359e-002    2.62478184991274e+003
 1.25993883792049e-002    2.06631762652705e+003
 1.28032619775739e-002    1.75916230366492e+003
 1.29935440027183e-002    1.60558464223386e+003
 1.31974176010873e-002    1.13089005235602e+003
 1.34012911994563e-002    4.60732984293194e+002
 1.36051647978253e-002    3.07155322862129e+002
 1.37954468229698e-002   -5.58464223385689e+001
 1.39993204213388e-002   -1.25654450261780e+002
 1.42031940197078e-002   -1.39616055846422e+002
 1.43934760448522e-002   -2.37347294938918e+002
 1.45973496432212e-002   -2.51308900523560e+002
 1.48012232415902e-002   -2.51308900523560e+002
 1.50050968399592e-002    5.58464223385689e+001
 1.51953788651036e-002    2.51308900523560e+002
 1.53992524634726e-002    7.53926701570681e+002
