#Time                        Gauge pressure
-1.99388379204893e-002    0.00000000000000e+000
-1.92048929663609e-002    0.00000000000000e+000
-1.83486238532110e-002    0.00000000000000e+000
-1.76146788990826e-002    0.00000000000000e+000
-1.68807339449541e-002    1.26984126984127e+002
-1.62691131498471e-002    1.26984126984127e+002
-1.59021406727829e-002    0.00000000000000e+000
-1.52905198776758e-002    1.26984126984127e+002
-1.46788990825688e-002    0.00000000000000e+000
-1.38226299694190e-002    0.00000000000000e+000
-1.29663608562691e-002    0.00000000000000e+000
-1.18654434250765e-002    0.00000000000000e+000
-1.06422018348624e-002    0.00000000000000e+000
-9.90825688073395e-003   -1.26984126984127e+002
-9.41896024464832e-003    0.00000000000000e+000
-8.56269113149847e-003    0.00000000000000e+000
-7.70642201834862e-003    0.00000000000000e+000
-7.33944954128440e-003    0.00000000000000e+000
-7.09480122324159e-003    1.26984126984127e+002
-6.72782874617737e-003    1.26984126984127e+002
-6.11620795107034e-003    1.26984126984127e+002
-5.25993883792049e-003    1.26984126984127e+002
-4.52599388379205e-003    1.26984126984127e+002
-3.91437308868502e-003    1.26984126984127e+002
-3.30275229357798e-003    1.26984126984127e+002
-2.93577981651376e-003    1.26984126984127e+002
-2.81345565749235e-003    0.00000000000000e+000
-2.69113149847095e-003   -1.26984126984127e+002
-2.56880733944954e-003    0.00000000000000e+000
-2.32415902140673e-003    2.53968253968254e+002
-2.07951070336391e-003    2.53968253968254e+002
-1.71253822629969e-003    1.26984126984127e+002
-1.59021406727829e-003    0.00000000000000e+000
-1.46788990825688e-003    2.53968253968254e+002
-1.22324159021407e-003    2.53968253968254e+002
-1.10091743119266e-003    0.00000000000000e+000
-9.78593272171254e-004    5.07936507936508e+002
-9.78593272171254e-004    1.01587301587302e+003
-8.56269113149847e-004    1.52380952380952e+003
-7.33944954128440e-004    2.41269841269841e+003
-7.33944954128440e-004    3.68253968253968e+003
-7.33944954128440e-004    5.07936507936508e+003
-7.33944954128440e-004    6.60317460317460e+003
-6.11620795107034e-004    8.38095238095238e+003
-6.11620795107034e-004    1.04126984126984e+004
-6.11620795107034e-004    1.20634920634921e+004
-6.11620795107034e-004    1.42222222222222e+004
-6.11620795107034e-004    1.29523809523810e+004
-4.89296636085627e-004    1.13015873015873e+004
-4.89296636085627e-004    9.77777777777778e+003
-4.89296636085627e-004    9.01587301587302e+003
-4.89296636085627e-004    7.87301587301587e+003
-4.89296636085627e-004    6.85714285714286e+003
-4.89296636085627e-004    6.22222222222222e+003
-3.66972477064220e-004    5.07936507936508e+003
-3.66972477064220e-004    6.34920634920635e+003
-3.66972477064220e-004    7.49206349206349e+003
-3.66972477064220e-004    8.50793650793651e+003
-3.66972477064220e-004    9.39682539682540e+003
-3.66972477064220e-004    1.04126984126984e+004
-3.66972477064220e-004    1.14285714285714e+004
-3.66972477064220e-004    1.21904761904762e+004
-3.66972477064220e-004    1.28253968253968e+004
-3.66972477064220e-004    1.34603174603175e+004
-2.44648318042813e-004    1.38412698412698e+004
-2.44648318042813e-004    1.51111111111111e+004
-2.44648318042813e-004    1.66349206349206e+004
-1.22324159021407e-004    1.66349206349206e+004
-1.22324159021407e-004    1.75238095238095e+004
-1.22324159021407e-004    1.85396825396825e+004
-1.22324159021407e-004    1.93015873015873e+004
-1.22324159021407e-004    2.00634920634921e+004
-1.22324159021407e-004    2.06984126984127e+004
-1.22324159021407e-004    1.95555555555556e+004
-1.22324159021407e-004    1.80317460317460e+004
 0.00000000000000e+000    1.70158730158730e+004
 0.00000000000000e+000    1.60000000000000e+004
 0.00000000000000e+000    1.47301587301587e+004
 0.00000000000000e+000    1.38412698412698e+004
 0.00000000000000e+000    1.24444444444444e+004
 0.00000000000000e+000    1.14285714285714e+004
 0.00000000000000e+000    1.04126984126984e+004
 0.00000000000000e+000    9.39682539682540e+003
 0.00000000000000e+000    8.63492063492063e+003
 0.00000000000000e+000    7.61904761904762e+003
 0.00000000000000e+000    6.60317460317460e+003
 0.00000000000000e+000    6.09523809523809e+003
 0.00000000000000e+000    5.33333333333333e+003
 0.00000000000000e+000    4.19047619047619e+003
 0.00000000000000e+000    3.04761904761905e+003
 0.00000000000000e+000    1.90476190476190e+003
 0.00000000000000e+000    1.01587301587302e+003
 0.00000000000000e+000    0.00000000000000e+000
 0.00000000000000e+000   -6.34920634920635e+002
 0.00000000000000e+000   -1.52380952380952e+003
 0.00000000000000e+000   -7.61904761904762e+002
 1.22324159021407e-004   -3.80952380952381e+002
 1.22324159021407e-004    5.07936507936508e+002
 1.22324159021407e-004    1.39682539682540e+003
 1.22324159021407e-004    2.41269841269841e+003
 1.22324159021407e-004    3.42857142857143e+003
 1.22324159021407e-004    4.69841269841270e+003
 1.22324159021407e-004    5.71428571428571e+003
 1.22324159021407e-004    6.22222222222222e+003
 2.44648318042813e-004    6.22222222222222e+003
 2.44648318042813e-004    6.98412698412698e+003
 2.44648318042813e-004    8.25396825396825e+003
 2.44648318042813e-004    9.39682539682540e+003
 2.44648318042813e-004    1.05396825396825e+004
 2.44648318042813e-004    1.14285714285714e+004
 2.44648318042813e-004    1.21904761904762e+004
 2.44648318042813e-004    1.32063492063492e+004
 2.44648318042813e-004    1.42222222222222e+004
 2.44648318042813e-004    1.53650793650794e+004
 2.44648318042813e-004    1.65079365079365e+004
 2.44648318042813e-004    1.73968253968254e+004
 2.44648318042813e-004    1.84126984126984e+004
 2.44648318042813e-004    1.56190476190476e+004
 3.66972477064220e-004    1.53650793650794e+004
 3.66972477064220e-004    1.44761904761905e+004
 3.66972477064220e-004    1.33333333333333e+004
 3.66972477064220e-004    1.23174603174603e+004
 3.66972477064220e-004    1.11746031746032e+004
 3.66972477064220e-004    1.01587301587302e+004
 3.66972477064220e-004    9.01587301587302e+003
 3.66972477064220e-004    8.12698412698413e+003
 3.66972477064220e-004    6.85714285714286e+003
 3.66972477064220e-004    5.33333333333333e+003
 3.66972477064220e-004    4.31746031746032e+003
 3.66972477064220e-004    3.80952380952381e+003
 3.66972477064220e-004    2.92063492063492e+003
 3.66972477064220e-004    2.66666666666667e+003
 4.89296636085627e-004    2.66666666666667e+003
 4.89296636085627e-004    2.28571428571429e+003
 4.89296636085627e-004    1.39682539682540e+003
 4.89296636085627e-004    6.34920634920635e+002
 4.89296636085627e-004    0.00000000000000e+000
 4.89296636085627e-004   -5.07936507936508e+002
 4.89296636085627e-004    2.53968253968254e+002
 6.11620795107034e-004    6.34920634920635e+002
 6.11620795107034e-004    1.01587301587302e+003
 6.11620795107034e-004    1.77777777777778e+003
 6.11620795107034e-004    2.41269841269841e+003
 6.11620795107034e-004    3.30158730158730e+003
 6.11620795107034e-004    4.57142857142857e+003
 6.11620795107034e-004    5.71428571428571e+003
 6.11620795107034e-004    6.98412698412698e+003
 6.11620795107034e-004    8.00000000000000e+003
 6.11620795107034e-004    8.50793650793651e+003
 7.33944954128440e-004    8.50793650793651e+003
 7.33944954128440e-004    9.01587301587302e+003
 7.33944954128440e-004    9.52380952380952e+003
 7.33944954128440e-004    8.76190476190476e+003
 8.56269113149847e-004    8.50793650793651e+003
 8.56269113149847e-004    7.74603174603175e+003
 8.56269113149847e-004    6.73015873015873e+003
 8.56269113149847e-004    5.71428571428571e+003
 8.56269113149847e-004    4.95238095238095e+003
 8.56269113149847e-004    3.93650793650794e+003
 8.56269113149847e-004    3.04761904761905e+003
 8.56269113149847e-004    2.28571428571429e+003
 8.56269113149847e-004    1.77777777777778e+003
 9.78593272171254e-004    1.77777777777778e+003
 9.78593272171254e-004    1.39682539682540e+003
 9.78593272171254e-004    8.88888888888889e+002
 9.78593272171254e-004    5.07936507936508e+002
 9.78593272171254e-004    1.01587301587302e+003
 1.10091743119266e-003    1.01587301587302e+003
 1.10091743119266e-003    1.39682539682540e+003
 1.10091743119266e-003    2.03174603174603e+003
 1.10091743119266e-003    2.53968253968254e+003
 1.10091743119266e-003    3.55555555555556e+003
 1.10091743119266e-003    4.31746031746032e+003
 1.10091743119266e-003    4.57142857142857e+003
 1.22324159021407e-003    4.57142857142857e+003
 1.22324159021407e-003    4.82539682539683e+003
 1.22324159021407e-003    4.44444444444444e+003
 1.34556574923547e-003    4.19047619047619e+003
 1.34556574923547e-003    3.68253968253968e+003
 1.34556574923547e-003    3.17460317460317e+003
 1.34556574923547e-003    2.53968253968254e+003
 1.34556574923547e-003    2.15873015873016e+003
 1.46788990825688e-003    2.15873015873016e+003
 1.46788990825688e-003    1.90476190476190e+003
 1.46788990825688e-003    1.65079365079365e+003
 1.46788990825688e-003    2.28571428571429e+003
 1.46788990825688e-003    2.66666666666667e+003
 1.46788990825688e-003    2.79365079365079e+003
 1.59021406727829e-003    2.92063492063492e+003
 1.59021406727829e-003    3.30158730158730e+003
 1.59021406727829e-003    3.80952380952381e+003
 1.59021406727829e-003    4.06349206349206e+003
 1.71253822629969e-003    4.31746031746032e+003
 1.71253822629969e-003    3.93650793650794e+003
 1.71253822629969e-003    3.55555555555556e+003
 1.71253822629969e-003    3.04761904761905e+003
 1.71253822629969e-003    2.53968253968254e+003
 1.71253822629969e-003    2.15873015873016e+003
 1.71253822629969e-003    1.77777777777778e+003
 1.71253822629969e-003    1.52380952380952e+003
 1.83486238532110e-003    1.39682539682540e+003
 1.83486238532110e-003    1.14285714285714e+003
 1.83486238532110e-003    1.01587301587302e+003
 1.83486238532110e-003    1.52380952380952e+003
 1.95718654434251e-003    1.65079365079365e+003
 1.95718654434251e-003    1.90476190476190e+003
 1.95718654434251e-003    2.28571428571429e+003
 1.95718654434251e-003    2.53968253968254e+003
 2.07951070336391e-003    2.92063492063492e+003
 2.07951070336391e-003    2.53968253968254e+003
 2.07951070336391e-003    2.15873015873016e+003
 2.07951070336391e-003    1.77777777777778e+003
 2.07951070336391e-003    1.52380952380952e+003
 2.20183486238532e-003    1.52380952380952e+003
 2.20183486238532e-003    1.26984126984127e+003
 2.20183486238532e-003    1.01587301587302e+003
 2.20183486238532e-003    7.61904761904762e+002
 2.20183486238532e-003    6.34920634920635e+002
 2.20183486238532e-003    5.07936507936508e+002
 2.20183486238532e-003    2.53968253968254e+002
 2.20183486238532e-003    0.00000000000000e+000
 2.20183486238532e-003    3.80952380952381e+002
 2.32415902140673e-003    5.07936507936508e+002
 2.32415902140673e-003    3.80952380952381e+002
 2.32415902140673e-003    1.26984126984127e+002
 2.32415902140673e-003   -1.26984126984127e+002
 2.44648318042813e-003    2.53968253968254e+002
 2.44648318042813e-003    3.80952380952381e+002
 2.44648318042813e-003    6.34920634920635e+002
 2.56880733944954e-003    7.61904761904762e+002
 2.56880733944954e-003    8.88888888888889e+002
 2.56880733944954e-003    6.34920634920635e+002
 2.56880733944954e-003    3.80952380952381e+002
 2.56880733944954e-003    2.53968253968254e+002
 2.56880733944954e-003    1.26984126984127e+002
 2.56880733944954e-003   -1.26984126984127e+002
 2.56880733944954e-003   -3.80952380952381e+002
 2.69113149847095e-003   -5.07936507936508e+002
 2.69113149847095e-003   -6.34920634920635e+002
 2.69113149847095e-003   -8.88888888888889e+002
 2.69113149847095e-003   -1.14285714285714e+003
 2.81345565749235e-003   -1.14285714285714e+003
 2.93577981651376e-003   -8.88888888888889e+002
 2.93577981651376e-003   -7.61904761904762e+002
 3.05810397553517e-003   -6.34920634920635e+002
 3.05810397553517e-003   -8.88888888888889e+002
 3.05810397553517e-003   -1.14285714285714e+003
 3.18042813455658e-003   -1.26984126984127e+003
 3.18042813455658e-003   -1.52380952380952e+003
 3.18042813455658e-003   -1.90476190476190e+003
 3.30275229357798e-003   -1.77777777777778e+003
 3.30275229357798e-003   -1.52380952380952e+003
 3.42507645259939e-003   -1.26984126984127e+003
 3.42507645259939e-003   -1.65079365079365e+003
 3.54740061162080e-003   -1.77777777777778e+003
 3.54740061162080e-003   -2.03174603174603e+003
 3.66972477064220e-003   -1.77777777777778e+003
 3.79204892966361e-003   -1.52380952380952e+003
 3.79204892966361e-003   -1.39682539682540e+003
 3.91437308868502e-003   -1.52380952380952e+003
 4.03669724770642e-003   -1.26984126984127e+003
 4.15902140672783e-003   -1.14285714285714e+003
 4.28134556574924e-003   -1.01587301587302e+003
 4.40366972477064e-003   -8.88888888888889e+002
 4.40366972477064e-003   -6.34920634920635e+002
 4.40366972477064e-003   -3.80952380952381e+002
 4.40366972477064e-003   -2.53968253968254e+002
 4.52599388379205e-003   -1.26984126984127e+002
 4.64831804281346e-003    1.26984126984127e+002
 4.64831804281346e-003    3.80952380952381e+002
 4.77064220183486e-003    6.34920634920635e+002
 4.89296636085627e-003    8.88888888888889e+002
 4.89296636085627e-003    1.26984126984127e+003
 5.01529051987768e-003    1.52380952380952e+003
 5.13761467889908e-003    1.77777777777778e+003
 5.25993883792049e-003    2.28571428571429e+003
 5.25993883792049e-003    2.66666666666667e+003
 5.50458715596330e-003    2.79365079365079e+003
 5.62691131498471e-003    3.04761904761905e+003
 5.62691131498471e-003    3.42857142857143e+003
 5.87155963302752e-003    3.68253968253968e+003
 5.99388379204893e-003    3.93650793650794e+003
 6.11620795107034e-003    4.19047619047619e+003
 6.36085626911315e-003    4.31746031746032e+003
 6.60550458715596e-003    4.19047619047619e+003
 6.60550458715596e-003    3.93650793650794e+003
 6.85015290519878e-003    3.68253968253968e+003
 6.97247706422018e-003    3.30158730158730e+003
 7.09480122324159e-003    3.04761904761905e+003
 7.21712538226300e-003    2.66666666666667e+003
 7.33944954128440e-003    2.28571428571429e+003
 7.46177370030581e-003    2.03174603174603e+003
 7.58409785932722e-003    1.52380952380952e+003
 7.58409785932722e-003    1.14285714285714e+003
 7.82874617737003e-003    6.34920634920635e+002
 7.95107033639144e-003    1.26984126984127e+002
 7.95107033639144e-003   -3.80952380952381e+002
 8.19571865443425e-003   -7.61904761904762e+002
 8.31804281345566e-003   -1.14285714285714e+003
 8.44036697247707e-003   -1.52380952380952e+003
 8.56269113149847e-003   -1.77777777777778e+003
 8.68501529051988e-003   -2.03174603174603e+003
 8.80733944954129e-003   -2.28571428571429e+003
 9.05198776758410e-003   -2.28571428571429e+003
 9.17431192660551e-003   -2.28571428571429e+003
 9.29663608562691e-003   -2.03174603174603e+003
 9.41896024464832e-003   -1.90476190476190e+003
 9.54128440366973e-003   -1.77777777777778e+003
 9.66360856269113e-003   -1.52380952380952e+003
 9.66360856269113e-003   -1.14285714285714e+003
 9.78593272171254e-003   -8.88888888888889e+002
 9.90825688073395e-003   -5.07936507936508e+002
 1.00305810397554e-002   -2.53968253968254e+002
 1.00305810397554e-002    1.26984126984127e+002
 1.01529051987768e-002    3.80952380952381e+002
 1.01529051987768e-002    7.61904761904762e+002
 1.02752293577982e-002    1.01587301587302e+003
 1.03975535168196e-002    1.39682539682540e+003
 1.05198776758410e-002    1.65079365079365e+003
